date,value
2025-09-18,148.02
2025-09-19,147.83
2025-09-22,147.83
2025-09-23,147.83
2025-09-24,148.71
2025-09-25,149.78
2025-09-26,149.52
2025-09-29,148.57
2025-09-30,147.97
2025-10-01,147.16
2025-10-02,147.35
2025-10-03,147.33
2025-10-06,150.02
2025-10-07,151.17
2025-10-08,152.72
2025-10-09,153.05
2025-10-10,151.94
2025-10-14,151.77
2025-10-15,151.21
2025-10-16,150.75
2025-10-17,150.33
2025-10-20,150.59
2025-10-21,151.72
2025-10-22,151.79
2025-10-23,152.72
2025-10-24,152.82
2025-10-27,153.09
2025-10-28,152.14
2025-10-29,151.91
2025-10-30,154.17
2025-10-31,154.05
2025-11-03,154.13
2025-11-04,153.55
2025-11-05,154.11
2025-11-06,152.97
2025-11-07,153.06
2025-11-10,153.99
2025-11-12,154.64
2025-11-13,154.4
2025-11-14,154.64
2025-11-17,155.2
2025-11-18,155.44
2025-11-19,156.63
2025-11-20,157.41
2025-11-21,156.58
2025-11-24,156.94
2025-11-25,156.3
2025-11-26,156.38
2025-11-28,156.17
2025-12-01,155.28
2025-12-02,155.92
2025-12-03,155.17
2025-12-04,154.9
2025-12-05,155.3
2025-12-08,155.89
2025-12-09,156.85
2025-12-10,156.33
2025-12-11,155.15
2025-12-12,155.81
2025-12-15,155.29
2025-12-16,154.8
2025-12-17,155.6
2025-12-18,155.53
2025-12-19,157.43
2025-12-22,156.93
2025-12-23,156.33
2025-12-24,155.83
2025-12-26,156.63
2025-12-29,156.1
2025-12-30,156.26
2025-12-31,156.8
2026-01-02,156.72
2026-01-05,156.32
2026-01-06,156.7
2026-01-07,156.73
2026-01-08,156.9
2026-01-09,158.07
2026-01-12,158.15
2026-01-13,159.06
2026-01-14,158.13
2026-01-15,158.5
2026-01-16,158.02
2026-01-20,157.89
2026-01-21,158.16
2026-01-22,158.36
2026-01-23,157.57
2026-01-26,153.88
2026-01-27,153.03
2026-01-28,153.6
2026-01-29,152.88
2026-01-30,154.34
2026-02-02,155.5
2026-02-03,155.7
2026-02-04,156.61
2026-02-05,156.91
2026-02-06,157.1
2026-02-09,156.08
2026-02-10,154.28
2026-02-11,152.93
2026-02-12,152.64
2026-02-13,152.77
2026-02-17,153.57
2026-02-18,154.45
2026-02-19,154.96
2026-02-20,154.99
2026-02-23,154.3
2026-02-24,155.66
2026-02-25,156.3
2026-02-26,156.13
2026-02-27,156.05
2026-03-02,157.48
2026-03-03,157.69
2026-03-04,156.93
2026-03-05,157.58
2026-03-06,157.64
2026-03-09,158.08
2026-03-10,157.6
2026-03-11,158.83
2026-03-12,159.21
2026-03-13,159.54
